City,Count,latitude,longitude
Marion,2,32.7931661,-94.344488
Brookville,2,40.8131553,-73.5673482
Northglenn,2,39.9100858,-104.987552
Hickory,2,37.959055,-93.3334746
Carrollton,2,32.9537349,-96.8902816
Queens,2,40.7135078,-73.8283132
Parker,2,32.77725975,-97.80455986920202
Azle,2,32.8975875,-97.5437799
Garland,2,32.912624,-96.6388833
St. Petersburg,2,27.7703796,-82.6695085
Chico,2,39.7284945,-121.8374777
Mansfield,2,40.75839,-82.5154471
St. Augustine,2,29.8946952,-81.3145395
Jurupa Valley,2,33.9798472,-117.4515754
Landover,2,38.92531295,-76.88154330442846
Oxford,2,51.7520131,-1.2578499
Cerritos,2,33.8644291,-118.0539323
Owensboro,2,37.7742152,-87.1133304
Hackensack,2,40.8871438,-74.0410865
Stockbridge,2,33.5442781,-84.2338093
Aloha,2,45.4942838,-122.867045
Salem,2,44.9391565,-123.033121
Cape Coral,2,26.6059432,-81.9806771
Eagar,2,34.1111581,-109.291475
Bend,2,44.0581728,-121.3153096
Wake Forest,2,35.9803138,-78.5103731
Lealman,2,27.8197898,-82.6822635
Honolulu,2,21.304547,-157.855676
Minneapolis,2,44.9772995,-93.2654692
Aiken,2,33.5723191,-81.6182086
Cartersville,2,34.1652304,-84.7997613
Ellis County,2,32.3347829,-96.7920233
Santa Maria,2,-29.6860512,-53.8069214
Homestead,2,25.4718946,-80.4759905
Riverview,2,46.0612076,-64.8033246
Rapid City,2,44.0806041,-103.2280239
Rossville,2,39.13611,-95.951656
Dayton,2,39.7589478,-84.1916069
Myrtle Beach,2,33.6956461,-78.8900409
Houma,2,29.5957696,-90.7195348
Oak Cliff,2,32.7392973,-96.8111126
Paris,2,48.8534951,2.3483915
Whittier,2,33.9708782,-118.030839
Roswell,2,34.02332,-84.360022
Sand City,2,36.6171819,-121.848285
Shelbyville,2,38.2120144,-85.2235666
Hays,2,30.0447901,-98.0393127
Barstow,2,34.8986215,-117.0244313
Gilbert,2,33.3527632,-111.789037
Hanover,2,52.3744779,9.7385532
Carson City,2,39.1698022,-119.7575628
Kerrville,2,30.048469,-99.1399464
St. Joseph,2,39.7686055,-94.8466322
East Point,2,33.6795531,-84.4393724
Beverly,2,42.5584284,-70.8800491
El Monte,2,34.0751571,-118.036849
Troy,2,39.957373950000004,26.238017461011644
Virginia Beach,2,36.8529841,-75.9774183
Santa Fe,2,-30.3154739,-61.1645076
West Jordan,2,40.6061337,-111.9395211
Spanish Fork,2,40.1150133,-111.6547774
Metairie,2,29.9899926,-90.1505426
Wauwatosa,2,43.0494122,-88.0079271
Van Nuys,2,34.1866193,-118.4486675
Dunsmuir,2,41.208209,-122.271953
York County,2,39.973143050000004,-76.74297462376592
Carmichael,2,49.9172707,-108.6546946
Kentwood,2,42.8694731,-85.6447492
Midland,2,31.9973662,-102.077948
Cedar Rapids,2,41.9758872,-91.6704053
Tupelo,2,34.2576067,-88.7033859
Sun City,2,33.6169035,-112.28011795781
Bronx,2,40.8466508,-73.8785937
Pompano Beach,2,26.2378597,-80.1247667
Visalia,2,36.3302284,-119.292058
Clanton,2,32.8392013,-86.6309229
Greeley,2,40.4233142,-104.7091322
Augusta,2,33.4709714,-81.9748429
Pittsburgh,2,40.4416941,-79.9900861
Seaside,2,36.62593,-121.8169383456945
Hurst,2,32.8234621,-97.1705678
Tahlequah,2,35.91537,-94.969956
Edinburg,2,55.9533456,-3.1883749
Franklin,2,33.2002659,-95.2231752
Naples,2,40.8358846,14.2487679
Taylors,2,34.90869135,-82.29585133163584
Fort Walton Beach,2,30.4057552,-86.618842
Little Rock,2,34.7465071,-92.2896267
Henderson,2,32.182598,-95.7893178
Atlantic City,2,39.3642852,-74.4229351
Port St. Lucie,2,27.2939333,-80.3503283
Covington,2,39.0836224,-84.508371
Belleville,2,48.8176714,6.0982683
Casper,2,42.8501191,-106.325138
Irmo,2,34.08846885,-81.1802101384121
Artesia,2,33.8690197,-118.0796195
Trenton,2,40.2205944,-74.7597219
Salisbury,2,51.0690613,-1.7954134
Reading,2,51.456659,-0.9696512
Laredo,2,27.5236998,-99.497352
Miami Gardens,2,25.9420377,-80.2456045
Iuka,2,38.6161588,-88.790334
Colton,2,34.0739016,-117.3136547
Kelso,2,46.1421249,-122.905299
Euless,2,32.8457865,-97.0667142473263
Homewood,2,41.5574046,-87.6651467
Burnsville,2,44.7670567,-93.2773887
Geneva,2,46.2017559,6.1466014
Deltona,2,28.9005446,-81.2636738
Clinton,2,38.5896187,-89.420064
Madison,2,43.074761,-89.3837613
Cocoa,2,28.3553873,-80.7318827
Lansing,2,42.7337712,-84.5553805
Dearborn,2,42.3222599,-83.1763145
Concord,2,43.207178,-71.537476
Cottonwood,2,44.019068,-95.1658845
Vallejo,2,38.1040864,-122.2566367
Portsmouth,2,50.8036831,-1.075614
Webster,2,32.050618,-84.5473105
Lake Elsinore,2,33.6680772,-117.3272615
Greensboro,2,36.0726355,-79.7919754
El Cajon,2,32.7947731,-116.962526
Elizabethtown,2,37.693952,-85.8591285
Fairfield,2,39.7886111,-82.6418883
Evans,2,32.1613648,-81.8980725
Chandler,2,33.3062031,-111.8411851
Ogden,2,41.2230048,-111.9738429
Inglewood,2,33.9562003,-118.353132
South Gate,2,33.9463456,-118.200981
Ripon,2,54.1362169,-1.5238006
Manchester,2,53.4794892,-2.2451148
Chesapeake,2,36.7183708,-76.2466798
Blue Springs,2,39.017316,-94.282265
Lake Jackson,2,29.0338575,-95.4343859
Ocala,2,29.1871986,-82.1400923
Rowland,2,53.2491909,-1.6820089
Longview,2,32.5007031,-94.74049
Vassalboro,2,44.4595251,-69.6778992
Winslow,2,35.0241984,-110.6973463
Lenoir City,2,35.7972998,-84.2560299
Eufaula,2,31.8912717,-85.1454876
Wyoming,2,43.1700264,-107.568534
Randallstown,2,39.36909865,-76.79584212721417
Englewood,2,39.6482059,-104.9879641
Tallahassee,2,30.4380832,-84.2809332
Chino,2,34.0133561,-117.690075
Vineland,2,39.4862777,-75.0254256
Redding,2,40.5863563,-122.391675
Lake Stevens,2,48.0197794,-122.0660914
Baytown,2,29.7355047,-94.9774274
Corning,2,42.1435257,-77.0543408
Zion,2,42.4461322,-87.8328505
Winchester,2,51.0612766,-1.3131692
Everett,2,47.9793437,-122.2127011
Metropolis,2,38.126076499999996,27.32437098038485
Hamilton,2,43.2560802,-79.8728583
Topeka,2,39.049011,-95.677556
Corpus Christi,2,27.7635302,-97.4033191
Spartanburg,2,34.9498007,-81.9320157
Mission,2,26.2159066,-98.3252932
Eugene,2,44.0505054,-123.0950506
Allen,2,40.8077797,-84.0572225
Park County,1,39.1089299,-105.7561639
Fort Madison,1,40.6311415,-91.3084007
Ouachita Parish,1,32.4790511,-92.1615004
Siskiyou County,1,41.6862466,-122.5360121
Gretna,1,29.9146493,-90.0539604
Buffalo,1,42.8867166,-78.8783922
East Berstadt,1,,
Landrum,1,35.1751148,-82.1892007
Frederica,1,39.0090017,-75.4657542
Sims,1,38.3603259,-88.530607
Johnstown,1,40.3267407,-78.9219698
Bel Air,1,34.0827278,-118.4479802
Weirton,1,40.4189566,-80.5895167
Gautier,1,30.385755,-88.6116855
Asheville,1,35.6009498,-82.5540161
Barbourville,1,36.8664765,-83.8888138
Eastaboga,1,33.6059367,-86.0213587
Laguna Pueblo,1,19.05246735,-98.10734757346606
Buckeye,1,33.3703197,-112.583776
Wausau,1,44.9596017,-89.6298239
Rosalia,1,37.8152985,-96.6197416
Alamo,1,26.1836854,-98.1230638
Sullivan,1,41.4402556,-76.5117017
Fulshear,1,29.690292,-95.8996261
Colorado City,1,32.3930337,-100.8635106
Biloxi,1,30.4007626,-88.8893818
Pinellas Park,1,27.8428025,-82.6995444
Carlsbad,1,33.1580933,-117.3505966
Cheektowaga,1,42.9033917,-78.7547536
Burien,1,47.469918,-122.3485274
Columbia Township,1,42.10957565,-84.28681073229657
Thomaston,1,40.7862124,-73.7137421
Rochester,1,43.157285,-77.615214
Dolton,1,41.6389236,-87.607268
Boone,1,42.321246,-88.8235511
Bristol,1,51.4538022,-2.5972985
Cochran,1,33.5905096,-102.805677
Bismarck,1,46.808327,-100.783739
Ashville,1,33.8369216,-86.2549799
New Iberia,1,30.0035365,-91.8187285
St. Martin,1,48.5683066,6.7539988
Middletown,1,41.5623178,-72.6509061
Osteen,1,28.8461019,-81.1625612
Malta,1,35.8885993,14.4476911
Peachland,1,49.766667,-119.75
Lake Asbury,1,31.66249295,-95.68401520644031
Fairborn,1,39.8208998,-84.0193858
Jacksonsville,1,,
Little Egg Harbor Township,1,39.6452742,-74.366968
Elizabethton,1,36.3487756,-82.2107617
Taunton,1,51.0147895,-3.1029086
Sheboygan,1,43.7128967,-87.9370433
Commerce,1,34.002581,-118.156586
Buckhannon,1,38.9939426,-80.2322698
Gallup,1,35.5283506,-108.743907
Pine River,1,46.7180163,-94.4041625
Mena,1,45.709097,-68.8590201
Boyle Heights,1,34.0436892,-118.2097684
Estill Springs,1,35.2706372,-86.1280417
Republic,1,39.8266503,-97.6580834
Hog Valley,1,29.494415,-81.8953647
Shawnee National Forest,1,37.6234753,-89.3116567
Fullerton,1,33.8708215,-117.9294165
Bailey,1,34.0349194,-102.8149372
Farmington,1,44.6402434,-93.1435497
Rosser,1,50.0044426,-97.4067036
Yuma,1,32.665135,-114.47603157249804
Rapid Valley,1,44.069577949999996,-103.12116002808514
Roanoke,1,37.270973,-79.9414313
Falcon Heights,1,44.9898128,-93.1762507
Hesston,1,38.1385315,-97.4314857
Rush Springs,1,34.7825721,-97.9569845
Silver Springs,1,42.6606177,-78.0855638
Riverdale,1,41.6333678,-87.6331021
Montgomery,1,32.3669656,-86.3006485
Bell,1,31.0081659,-97.4314413
East Troy,1,42.7851871,-88.4054374
Clovis,1,36.8252277,-119.7029194
Selma,1,32.4078632,-87.0207473
Broken Bow,1,41.4018116,-99.6393288
East St. Louis,1,38.6133731,-90.14629
Romulus,1,42.2222614,-83.3965995
Presque Isle,1,45.3375258,-83.9567881
Fisty,1,37.3339851,-83.1015577
Milcreek,1,41.292419,-84.76729
Chesterfield County,1,37.3859982,-77.578509
Ishpeming Township,1,46.623265950000004,-87.67675414329108
Lake Hallie,1,44.8827276,-91.4327558
Gallatin,1,37.7509507,-88.2264519
Oak Hill,1,39.24656375,-97.34284800780038
West Springfield,1,42.105237,-72.6213712
Sneads,1,30.7075911,-84.9244479
Eau Claire,1,44.811349,-91.4984941
Iredell County,1,35.8101636,-80.8805593
Yakima,1,46.601557,-120.510842
Macon County,1,39.8455208,-88.9602376
Raceland,1,38.5399754,-82.7283275
Lockhart,1,29.8832105,-97.6736292
Maywood,1,33.9866807,-118.185349
Eagle Mountain,1,42.0620352,-74.50932
Aitkin,1,46.5714822,-93.3847595
Solvang,1,34.595887,-120.139071
Clearlake Park,1,38.966564,-122.6510961
Splendora,1,30.2329914,-95.1610438
Washington Park,1,45.51552355,-122.7057111913291
Kinston,1,35.2626635,-77.5816353
Somerton,1,52.1464596,0.646509
Port Arthur,1,29.8988618,-93.9288723
Addison,1,41.931696,-87.9889556
Perryville,1,37.7275127,-89.8645455
Stoneville,1,36.45600965,-79.90154341942669
Tualatin,1,45.3838546,-122.766351
Greenbelt,1,38.9933654,-76.88333238304114
Cache,1,41.7042978,-111.7451159
Mableton,1,33.8188333,-84.5822632
McPherson,1,38.3659015,-97.6575171
Newnan,1,33.3806716,-84.7996573
Berea,1,-29.1963971,27.9175581
Sparta,1,37.08114525,22.42486178272022
Llano,1,30.6663312,-98.6970374
Noma,1,55.6829314,12.6104818
Socorro,1,34.0572858,-106.8930799
Wasilla,1,61.5824216,-149.442563
Rotterdam,1,51.9244424,4.47775
Yreka,1,41.732616,-122.637766
Wagoner,1,35.9542216,-95.5636238
Turlock,1,37.4946568,-120.8465941
Norman,1,35.2225717,-97.4394816
New Brunswick,1,46.500283,-66.750183
Hiseville,1,37.1008864,-85.8124723
Schenectady,1,42.8142432,-73.9395687
Lee's Summit,1,38.9107156,-94.3821295
Mobile,1,30.6867339,-88.0848929
Byron,1,44.0325922,-92.6454395
Harrisonville,1,38.655124,-94.3471072
Gresham,1,45.4997475,-122.4309766
Hardeeville,1,32.2802665,-81.0726108
Lake Havasu City,1,34.4838502,-114.322449
Peterborough,1,52.5725769,-0.2427336
Lawndale,1,33.8885217,-118.3531991
Hallandale Beach,1,25.9812025,-80.148379
Anson County,1,34.9705848,-80.0958187
Evansville,1,37.9747645,-87.5558483
Wellington,1,-41.2887953,174.7772114
Russellville,1,35.2784173,-93.1337856
Walls,1,60.229307,-1.5663469
East Flat Rock,1,35.287417,-82.41916674460433
Bellville,1,29.9502253,-96.2571858
Kingsbury,1,44.3631469,-97.4882433
Paterson,1,40.9167654,-74.171811
Deland,1,29.0283213,-81.3031098
Oregon City,1,45.3573429,-122.6067583
Montpelier,1,44.2602164,-72.5751208
Butte,1,39.6519275,-121.5858444
Pembine,1,45.635239,-87.990953
Pawtucket,1,41.878711,-71.3825558
Grundy,1,41.2747363,-88.4119361
Berne,1,46.9484742,7.4521749
Tiverton,1,50.9025623,-3.4875797
Lowell,1,42.6414437,-71.3085329
Pueblo of Laguna,1,35.0365948,-107.37416309652562
Chula Vista,1,32.6400541,-117.0841955
Antigo,1,45.140245,-89.152335
Redlands,1,34.0550328,-117.1827445
Braintree,1,42.2205956,-71.0041229
Idaho Falls,1,43.4887907,-112.03628
Thornton,1,39.8695516,-104.985181
Fredericksburg,1,38.3031837,-77.4605399
South Greensburg,1,40.2784029,-79.5447619
Stamford,1,41.0534302,-73.5387341
Fort Littleton,1,40.0628635,-77.9636117
Byng,1,-33.3483333,149.2511111
Hopewell,1,37.3043154,-77.2872001
White Plains,1,41.0339862,-73.7629097
Nacogdoches,1,31.5970503,-94.5927451
Hometown,1,41.731246,-87.7309534
Sparks,1,39.5404679,-119.7487235
English,1,37.3378908,-81.7151099
Grass Valley,1,39.2190607,-121.06292
Pearland,1,29.5639758,-95.2864299
North Riverside,1,41.84686,-87.8152024
Campbellton,1,49.277649249999996,-54.92271033923269
Spring Hill,1,41.4117626,-93.6479872
Chestertown,1,39.2089986,-76.0666126
Pensacola,1,30.421309,-87.2169149
Mankato,1,44.1634663,-93.9993505
Loxahatchee,1,26.973524,-80.131002
Huntingdon County,1,40.3446332,-78.0281185
Villa Park,1,52.5091264,-1.8850354312212985
Woodstock,1,42.0410578,-74.1182492
Gilmer,1,34.6859788,-84.452696
Pomona,1,34.0553813,-117.7517496
Dinuba,1,36.5432837,-119.3870656
La Quinta,1,33.677474,-116.2958789
Monteagle,1,35.2294265,-85.8775997469271
Sharon,1,41.2331116,-80.4934035
Deerfield,1,42.1711365,-87.8445119
Fairland,1,39.0763735,-76.96472559152608
Elkridge,1,39.19386315,-76.74209025715359
Independence,1,39.0924792,-94.4137923
Cumming,1,41.4833235,-93.7624442
Reagan,1,31.3458428,-101.5295291
Pearisburg,1,37.3265112,-80.7350712
Kahuku,1,21.6844495,-157.9416673099028
Tyrone,1,54.63533405,-7.261148467859144
Fulton,1,40.4714305,-90.1845556
Herndon,1,39.909726,-100.785153
Soddy-Daisy,1,35.2359025,-85.1907904
Middleburg,1,38.9690189,-77.7355056
Desha,1,33.7740219,-91.3110517
King City,1,36.2127439,-121.126028
Pico Rivera,1,33.9830688,-118.096735
Elkhart,1,41.6012796,-85.8590603
Orange City,1,28.9488761,-81.2986741
Fruitland Park,1,28.8613765,-81.9064705
Sioux City,1,42.4966815,-96.4058782
Avella,1,40.958914,14.600537
Keaau,1,19.6225209,-155.0390436
Leland,1,34.2203056,-78.0335992
Forks Township,1,40.739360500000004,-75.21736228572813
Sumter,1,28.6689748,-82.076402
Greenwood,1,37.8709542,-96.2471338
Fairmont,1,43.6521775,-94.4610832
Bullhead City,1,35.1477774,-114.568298
Medicine Lodge,1,37.2811339,-98.580361
Fort Valley,1,32.5537585,-83.8874084
Hampton,1,37.0300969,-76.3452057
Hacienda Heights,1,33.9930677,-117.968675
Ridgefield,1,41.2814842,-73.4981792
Granite Falls,1,48.0817561,-121.96947
Pharr,1,26.1947962,-98.1836216
Brawley,1,32.9786566,-115.530267
Ponca City,1,36.703647,-97.081898
Burns Flat,1,35.3489398,-99.1703617
Knox,1,33.5871385,-99.7073621
Saraland,1,30.820742,-88.0705556
Coalinga,1,36.1299627,-120.24506655944688
Capitol Heights,1,38.8849913,-76.9134765
Palm Harbor,1,28.0856815,-82.75690699742961
Lake Wales,1,27.9014133,-81.5859099
Gadsden,1,34.010929,-85.9989596
Twentynine Palms,1,34.1356915,-116.0543506
Salinas,1,36.6744117,-121.655037
Watts,1,33.9405897,-118.2428984
Commerce City,1,39.8083196,-104.9338675
Jackson County,1,28.9224028,-96.55561
Mt. Pleasant,1,33.1570582,-94.9694007
Howland Township,1,41.252355449999996,-80.73960085905492
Anadarko,1,35.0725323,-98.243981
Geneva Township,1,42.37559445,-86.16729950548645
Crownpoint,1,35.6873288,-108.1442972
Bethany,1,40.2683344,-94.0282861
Bridgeton,1,38.7566055,-90.42352
Aiea,1,21.385987,-157.92389027812496
Terrell,1,30.1990738,-102.0974881
Santa Barbara,1,34.4221319,-119.702667
Golden Shores,1,34.7819566,-114.477812
Vincennes,1,48.8474508,2.4396714
Cape Girardeau,1,37.3034933,-89.5230357
Newman,1,37.3139487,-121.0204222
Gardena,1,33.8963593,-118.3053037
Grand Prarie,1,48.1407257,-97.29818230520881
Big Lake,1,31.1954739,-101.4592746
Efland,1,36.0812507,-79.1691812
Bull Shoals,1,36.383956,-92.5815527
Roy,1,41.1715361,-112.0273739
Conroe,1,30.3118769,-95.4560512
Newton,1,30.8118989,-93.740504
Fairfax,1,38.8462236,-77.3063733
London,1,51.5073359,-0.12765
Rocklin,1,38.7907339,-121.2357828
Lumpkin,1,34.5546076,-83.9926806
Aragonite,1,40.7425261,-113.0015695
Floral City,1,28.7211775,-82.30767091141726
Santa Monica,1,34.0194704,-118.491227
DeLand,1,29.0283213,-81.3031098
Gary,1,41.6020962,-87.3370647
Moultrie,1,39.6391442,-88.6087498
Grand Forks,1,47.9078244,-97.0592028
Florissant,1,38.7919683,-90.3227803
Woodford,1,40.8145359,-89.2074215
Fritch,1,35.6397656,-101.603228
Jean,1,35.7790078,-115.324314
Waldoboro,1,44.095476,-69.375916
Carson,1,35.3636563,-101.3353895
Brooklet,1,32.3796294,-81.6631659
Kenner,1,29.9942265,-90.2417806
Atascadero,1,35.4894169,-120.6707255
Algoma Township,1,43.17145845,-85.61092385747594
Lancaster City,1,-31.9682981,116.135506
Kuna,1,43.4918307,-116.420122
Southaven,1,34.9873822,-90.0034862
Millston,1,44.1930179,-90.6476354
Overlea,1,39.35842555,-76.51908672870928
Madison Township,1,41.84609905,-84.06201423850862
Alhambra,1,37.176059949999996,-3.5881102773279347
Fort Stockton,1,30.891901,-102.883662
Oakdale,1,44.985624,-92.9645794
Kiowa,1,37.5529578,-99.296556
Lynnwood,1,47.8278656,-122.3053932
Hollywood,1,34.0980031,-118.329523
Highland,1,57.5066357,-5.0038367
Orange Park,1,30.1654707,-81.7016346
Olympic Valley,1,39.1984156,-120.2298597
Panhandle,1,35.3454847,-101.3804082
Grafton,1,43.9702453,-71.8742626
Forest Park,1,41.8794989,-87.8136997
Hudson,1,40.7381635,-74.0550731
Tuscumbia,1,34.7312005,-87.70253
Simpsonsville,1,,
East Hollywood,1,34.0904277,-118.2966254
East Ridge,1,35.0142412,-85.2519003
Myra,1,36.2587484,29.985204560872877
Eagan,1,44.818173,-93.1659179
Graham,1,35.359542,-83.8337785
Harker Heights,1,31.0746347,-97.6590473
McDowell,1,35.6608869,-82.0482171
Sylvania Township,1,41.6081955,-78.01338699048395
Huntington Park,1,33.9827043,-118.2120343
Alamogordo,1,32.8998822,-105.9602081
Round Lake,1,43.5405195,-95.4683381
East Wenatchee,1,47.4156824,-120.293126
Temple,1,31.098207,-97.3427847
Spencer,1,38.0288806,-86.9976446
Gray,1,47.4455642,5.5919867
Albany,1,41.000028,19.9999619
Titusville,1,28.6122187,-80.8075538
Delhi,1,28.6273928,77.1716954
Auburn,1,32.6098566,-85.4807825
Montcalm,1,43.3055418,-85.112198
Saratoga,1,43.0833231,-73.8712155
Weeki Wachi,1,,
Big Bear,1,29.667596,-98.455696
Winooski,1,44.4910402,-73.1861064
Rutherfordton,1,35.3692877,-81.9567716
St. Cloud,1,45.5616075,-94.1642004
Spring,1,30.0798826,-95.4172549
Logan Canyon,1,41.7436655,-111.7696827
Wood County,1,32.7577475,-95.3812941
Decatur County,1,30.8736613,-84.5740953
New London,1,41.3556187,-72.0997804
McKinneyville,1,,
Fair Oaks,1,38.642897000000005,-121.24624532104002
Poway,1,32.9628234,-117.035864
City Terrace,1,34.0500116,-118.1828495
Pleasant Hill,1,37.9479786,-122.0607963
Phelps,1,37.913292,-91.8168126
Wapato,1,46.4476278,-120.420338
Edmund,1,42.9676284,-90.2643838
Stafford,1,38.0350094,-98.718816
Lake City,1,44.4478474,-92.2678663
Hammett,1,50.4658648,-4.3653889
Castaic,1,34.4888822,-118.6228656
Clearfield,1,40.9908706,-78.4457422
Scott County,1,39.6333408,-90.4753685
Aldie,1,38.9755174,-77.6413094
Santee,1,32.8383828,-116.9739167
Beaver Dam,1,43.4577692,-88.837329
Harrisburg,1,40.2663107,-76.8861122
Little Mountain,1,-26.785390999999997,153.09505573378837
Wilkesboro,1,36.145965,-81.1606401
Georgetown,1,6.8137426,-58.1624465
